clean_comment,sentiment,rate
sản phẩm tạm được hơi rộng so với mình,NEUTRAL,3
đẹp chất mềm mại mặc rất thích chủ cửa hàng nhiệt tình chất lượng sản phẩm tuyệt vời cửa hàng phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh,POSITIVE,5
giày nhem nhuốc ố bẩn box nát,NEGATIVE,1
rất đáng tiền tuy nhiên vải không được co giãn lắm nếu là bạn gái từ 55k trở lên thì khó mặc,NEUTRAL,3
đủ số lượng,POSITIVE,4
áo hình chất lượng sản phẩm tuyệt vời,POSITIVE,5
rất ưng ý và chất lượng,POSITIVE,5
mật để trong tủ lạnh bị đóng sệt lại khoảng không trong chai không di chuyển như mật mình mua ở địa phương,NEGATIVE,2
áo sờ chất rất thích,POSITIVE,4
váy quá đẹp mặc lên rất tôn da,POSITIVE,5
mình xài hộp màu xanh sao lại thấy không thơm nhỉ,POSITIVE,4
giao hàng nhanh giống hình,POSITIVE,5
cửa hàng tặng thêm bánh và đôi tất lười nữa đáng yêu,POSITIVE,5
hàng chất lượng tốt mang đi êm,POSITIVE,5
chất lượng sản phẩm tuyệt vời nhưng màu không giống hình minh đặt,POSITIVE,4
người giao hàng rất có tâm đấy ạ,POSITIVE,5
hàng tốt như trong hình,POSITIVE,5
giao hàng khá chậm,NEGATIVE,2
áo đẹp hơi mỏng,NEUTRAL,3
đúng hàng loại có khác từ cách đóng gói đến chất lượng sản phẩm quá tốt,POSITIVE,5
chất lượng sản phẩm tuyệt vời ngon bổ re cửa hàng anh,POSITIVE,5
màn hình to và khá là hd,POSITIVE,5
áo khá mỏng và cụt hơn mình ngh đóng gói sản phẩm ổn,NEGATIVE,2
quần chưa kịp mặc đã bục đoạn,NEGATIVE,2
mình 48kg,NEUTRAL,3
mình mua sản phẩm chất giống ảnh gói hàng đẹp giao hàng nhanh giá cả hợp lý,POSITIVE,4
chất áo thì không phải lăn tănn luôn nhưng form hơi to,POSITIVE,4
cửa hàng còn có quà tặng kèm và thẻ tích điểm,POSITIVE,5
mạng chạy chậm quá,NEGATIVE,1
vừa khít bụng mình mà không bị hằn cấn,POSITIVE,4
mua lần,POSITIVE,4
chất lượng sản phẩm tốt,POSITIVE,5
rất ưng ý,POSITIVE,5
hàng thì siêu yêu siêu mềm mịn,POSITIVE,5
chất liệu vải tốt so với giá 100k,POSITIVE,4
chất lượng sản phẩm tạm được thời gian giao hàng tạm được đóng gói sản phẩm tạm được,NEUTRAL,3
đóng gói không áo còn lại đẹp,POSITIVE,5
giao nhầm hàng ib cửa hàng không trả lời,NEGATIVE,1
màu bạc rất sáng lấp lánh hơn màu hồng,POSITIVE,4
chất áo dày dặn form áo đẹp,POSITIVE,5
ống quần bên to bên nhỏ size và bằng nhau,NEGATIVE,2
đóng gói gọn gàng đẹp đẽ chất lượng sản phẩm tuyệt vời rất đáng tiền thời gian giao hàng rất nhanh,POSITIVE,5
chất lượng sản phẩm tương xứng giá tiền mua mặc thay đổi kiểu thì ổn,POSITIVE,5
ốc hơi lỏng cho thêm cái vặn vít không đang bao nhiêu nhưng quý hơn cái dây kia bạn ạ,NEUTRAL,3
cửa hàng phục vụ rất tốt hết mẫu mình đặt còn gọi lại để đổi sang loại khác dù giá cao hơn nhưng vẫn lấy giá sale hàng rất ổn cảm ơn cửa hàng,POSITIVE,5
ren hơi mềm nên làm dáng áo không được cứng nâng ngực tạm được,POSITIVE,4
giao hàng lâu,NEGATIVE,2
size 34 mà khung ngực nhỏ quá,NEGATIVE,2
đóng gói sản phẩm rất đẹp và chắc chắn,POSITIVE,5
hàng hình rất đẹp ạ,POSITIVE,5
thái đô kém thời gian giao hàng rất chậm cửa hàng phục vụ rất kém,NEGATIVE,1
bàn tay mỏng nên không nâng lắm,NEGATIVE,2
đẹp lắm đấy,POSITIVE,4
áo giống hình chất vải hơi nóng,POSITIVE,4
đóng gỏi không cẩn thận cửa hàng nên đong hộp cứng đỡ bị móp bẹp túi,NEGATIVE,1
giao hàng nhanh mua sản phẩm thì hỏi không trước tránh thất vọng,NEUTRAL,3
đóng gói sản phẩm rất đẹp và chắc chắc,POSITIVE,5
thời gian giao hàng rất nhanh dầy dặn đẹp,POSITIVE,5
có giống hình nhưng vải rất mỏng không đúng như trong hình giá tiền tương đương với sản phẩm,NEGATIVE,2
chủ cửa hàng tư vấn rất nhiệt tình đầm lên form rất đẹp hợp với dáng mình còn được tặng kèm qà,POSITIVE,5
váy còn đẹp và chuẩn hơn trong hình nữa,POSITIVE,5
size bộ xanh và hồng không giống nhau,NEGATIVE,1
áo rẻ đẹp phù hợp giá tiền,POSITIVE,4
áo vải cực đẹp hình có điều to hơn mong đợi,POSITIVE,5
chất lượng sản phẩm tuyệt vời đồ rất đẹp sẽ ủng hộ cửa hàng tiếp,POSITIVE,5
sa pha mơ chất lượng sản phẩm tuyệt vời,POSITIVE,5
giao hàng nhanh,POSITIVE,5
rất ngon nhưng mà theo em thì nên xé nhỏ khô lại,POSITIVE,4
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh,POSITIVE,5
chất ổn á nhưng rep ib thì hơi lâu,POSITIVE,4
luôn ủng hộ cửa hàng,POSITIVE,5
âm thanh rất dở,NEGATIVE,1
xấu và nhìn phom áo chán đời luôn,NEGATIVE,1
chất lượng sản phẩm tốt đáng đồng tiền,POSITIVE,5
chuẩn quần vải đẹp ôm gọn chân mà vải còn mát nữa,POSITIVE,5
cửa hàng vận chuyển hàng nhanh váy khá ổn mà còn được tặng quà nữa hihi lắc tay nhỏ nhỏ xinh xinh khi nào đeo cho bé nhà,POSITIVE,5
nhìn cái áo màu không đẹp vãi mỏng không đág tiền lắm,NEGATIVE,2
đập vào mắt là 17500 làm mất hứng sản phẩm được màu đậm hơn hình áo có mùi như thuốc tẩy giặt mãi không hết,NEGATIVE,2
chuẩn hàng bitis,POSITIVE,4
màu không đẹp như hình chup,NEGATIVE,1
hàng đẹp giao nhanh,POSITIVE,5
chất lượng sản phẩm tuyệt vời vải ổn thích hợp cho những ai thích mang form rộng lắm nè,POSITIVE,5
hợp với giá 130k,POSITIVE,5
form áo xấu lắm mặc lên như tá điền chỗ tà áo bên dưới rất dài chứ không ngăn như ảnh mẫu mặc bảo sao thấy quay clip gập đôi áo vào,NEGATIVE,2
công nghệ hơi lạ không biết có bền không,NEUTRAL,3
gối hơi nhỏ,NEGATIVE,2
áo nhìn xinh cửa hàng nói chuyện cực đáng yêu,POSITIVE,5
chất lượng sản phẩm tạm được chiều dài áo ngắn quá,NEUTRAL,3
mùi len hơi nặng đã giặt nhưng vẫn còn nặng mùi,NEGATIVE,1
vải ổn lắm luôn,POSITIVE,5
sản phẩm tạm được đóng gói không đẹp,NEGATIVE,2
chưa thấy cửa hàng nào hãm thế này,NEGATIVE,1
sản phẩm rất ổn kể cả áo trong của nữ chất vải người mềm đẹp mang lên sang chảnh tui mình diện đi sinh nhật ai người khen đẹp đôi nói chung là rất hài lòng,POSITIVE,5
tầm giá là sử dụng tot,POSITIVE,5
không dùng được,NEGATIVE,2
chất lượng sản phẩm tạm được anh hơi ngă so vơ hi nh,NEGATIVE,2
sản phẩm tôt giao hang nhanh,POSITIVE,4
hàng bình thường,NEUTRAL,3
không con duong nao de che,NEGATIVE,1
chất vải ổn dày dặn,POSITIVE,5
ưng,POSITIVE,4
nay mua thêm combo nữa,NEUTRAL,3
áo dep lam cửa hàng ui mình rat thích,POSITIVE,5
rất ưng hii,POSITIVE,5
không giao,NEGATIVE,2
màu sắc không giống hình,NEGATIVE,2
áo vải quá xấu,NEGATIVE,1
nói chung là mình mua mặc đi làm ổn đáng tiền,POSITIVE,5
cửa hàng nhiệt tình giúp đỡ chất lượng quần thì khỏi chê dài rộng gì người vừa ý mình hết,POSITIVE,5
yêu cầu đổi trả cửa hàng yêu cầu gửi ảnh gửi cho rồi im lặng,NEGATIVE,2
thời gian giao hàng rất nhanh rất đáng tiền cửa hàng phục vụ rất tốt đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn đóng gói sản phẩm rất đẹp và chắc chắn đóng gói sản phẩm rất đẹp và chắc chắn,POSITIVE,5
hàng kém chất lượng và không như quảng cáo,NEGATIVE,2
nói chung là không thất vọng đâu,POSITIVE,4
sản phẩm giống hình,NEUTRAL,3
giầy hơi cứng chất lượng sản phẩm tạm được,NEUTRAL,3
sờ chất quần thì ổn luôn,POSITIVE,4
vay đẹp kỹ tu van nhiet tinh,POSITIVE,5
hình,POSITIVE,5
nt không trả lời,NEGATIVE,2
châ lươ người vư anh vơ gia tiê,POSITIVE,4
sẽ ủng hộ cửa hàng dài,POSITIVE,5
hàng chất lượng hơn giá sản phẩm nhak mọi người,POSITIVE,4
áo rách ntn không hiểu phải mặc ntn luôn,NEGATIVE,1
nhưng người phù hợp với giá tiền mặc vẫn ổn,POSITIVE,4
đô mă vư anh thun hơi ôm dê thâ bu người,POSITIVE,4
chọn màu này lấy màu kia,NEGATIVE,2
hàng tương đối ổn mình khá hài lòng,POSITIVE,4
inbox không thèm trả lời,NEGATIVE,2
mình mua chai về tàng trữ dần vì loại này vừa tẩy sạch vừa không dễ gây mụn như dầu tẩy trang,POSITIVE,5
mất uy tín,NEGATIVE,1
màu ngoài không giống trong ảnh nhưng chất lượng khá ổn với giá,POSITIVE,4
rất ưng,POSITIVE,5
cửa hàng giao hàng nhanh gửi đúng màu áo giống hình mặc dù chất vải không đẹp như mong muốn nhưng vẫn cho cửa hàng,POSITIVE,4
cửa hàng phục vụ rất tốt thời gian giao hàng rất nhanh,POSITIVE,5
giày đẹp lắm giao hàng lâu quá mun điên,POSITIVE,4
cửa hàng giao siêu nhanh,POSITIVE,5
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn rất đáng tiền thời gian giao hàng tạm được đáng đồng tiền,POSITIVE,4
vừa ý,POSITIVE,4
quần size nhưng lại bị cái to cái bé còn với giá tiền nvay thì người không mong chất đẹp hơn,POSITIVE,4
cửa hàng phục vụ rất tốt thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh,POSITIVE,5
nhưng không sao cảm ơn cửa hàng,POSITIVE,4
chất lượng sản phẩm tốt nhưng giao hàng chậm onl người chẳng trả lời gì,POSITIVE,4
vài thun rất mỏng không fai len,NEGATIVE,1
đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt,POSITIVE,5
đóng gói sản phẩm chắc chắn cửa hàng giao hàng nhanh nhận ngay 20 10 về sản phẩm thì chất vải người được hợp mặc mùa thu áo đẹp nhưng mà cửa hàng nên kiểm tra không sản phẩm đi ạ áo thì cứ vài chỗ lại có vết bẩn xong lại có màu xanh xanh ở gần đuôi áo chưa kể lúc mở hàng ra thì bị ngay cái dằm suýt đâm vào tay,POSITIVE,4
cửa hàng giao hàng cực nhanh lun trưa hom qua đặt mà trưa nay đã giao,POSITIVE,5
thêm tin tưởng vào shoppe,POSITIVE,4
áo vải đẹp mịn mát,POSITIVE,5
chất lượng sản phẩm tuyệt vời thời gian giao hàng rất nhanh,POSITIVE,5
chủ cửa hàng nhiệt tình,POSITIVE,5
rất đáng tiền,POSITIVE,5
sản phẩm rất đẹp,POSITIVE,5
hơi thô,NEGATIVE,2
va râ mo người,NEGATIVE,2
hàng như hình,NEUTRAL,3
đẹp lại rẻ,POSITIVE,5
chất lượng sản phẩm tuyệt vời ưng sẽ ủng hộ cửa hàng dài giao hàng nhanh,POSITIVE,5
quay lại sửa đánh giá sau khi tung tăng mặc váy diện muôn nơi váy chất không có gì để chê tuyệt vời dày dặn mặc đúng kiểu chùm chân mình thích che được mông cạp cao mặc lên eo ót với cả chân dài cả mét tuyệt vời cho chiếc váy 159k,POSITIVE,5
ao mặc đẹp chất đẹp thời gian giao hàng rất nhanh,POSITIVE,5
giao hàng rất nhanh aó đẹp nói chung rất hài lòng,POSITIVE,5
đặt xanh đậm mà giao mảu xám thất vọng quá màu thấy củ xèm,NEGATIVE,2
quả không đẹp chất lượng sản phẩm tạm được,NEGATIVE,2
áo chất đẹp cửa hàng phục vụ tốt,POSITIVE,4
tôi rất hài lòng về sản phẩm,POSITIVE,5
chất lượng sản phẩm tuyệt vời rất ưng ý đồ đẹp,POSITIVE,5
cửa hàng lam ăn không uy tín sảm phẩm thì dỗm chát thì chặn,NEGATIVE,1
hàng rất ổn,POSITIVE,5
cl phù hợp giá tiền,NEUTRAL,3
đúng hình ảnh đẹp,POSITIVE,5
mẫu người đa dạng,POSITIVE,5
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn,POSITIVE,5
hết hàng thì phải báo với khách chứ đằng này vẫn giao,NEGATIVE,2
ban đầu mình ngh là ren mỏng nhưng nhận được thì thấy ren đẹp hơn mình tưởng tượng,POSITIVE,5
đẹp vừa ý,POSITIVE,4
tuyệt ạ giày nhẹ êm,POSITIVE,5
đúng mỗi màu,NEGATIVE,2
sản phẩm chất lượng,POSITIVE,4
cổ áo bị rách cửa hàng nên ktra không trc khi giao mình 40kg cao 55m mà mặc hơi chật,NEGATIVE,1
đóng gói kỹ,POSITIVE,5
gói hàng cẩn thận,POSITIVE,5
cảm ơn cửa hàng nhìu,POSITIVE,4
đây là lần thứ mua sản phẩm của cửa hàng giày đẹp cách phục vụ tốt sẽ ủng hộ cửa hàng nhiều nữa,POSITIVE,5
son lên màu đẹp không bị khô cứng và lộ vân môi như màu 12 rất đáng tiền,POSITIVE,5
cảm ơn cửa hàng nhé,POSITIVE,4
giống hình mà vải hơi cứng bạn ạk,POSITIVE,4
chất áo đẹp lắm yêu cửa hàng,POSITIVE,5
quần của cửa hàng quá đẹp luôn,POSITIVE,5
minh lay size lớn nhất cho rộng roi size xxl mà nhìn thay bé hơn quần củ chồng mình 72kg sản phẩm chất thì nhìn tốt đóng gói sản phẩm rất đẹp và chắc chắn,POSITIVE,5
chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn đóng gói sản phẩm rất đẹp và chắc chắn thời gian giao hàng rất nhanh rất đáng tiền,POSITIVE,5
chất thì ổn nhưng cổ áo không giống hình cổ áo không rộng mà ôm,NEUTRAL,3
đặt quần dài mà đóng gói cho quần ngố,NEGATIVE,2
khuyến khích cho,POSITIVE,5
nét chữ không được rõ sản phẩm có mùi hơi kinh,NEGATIVE,1
mă phô vơ chân va hay jean đê đe,POSITIVE,5
nhưng ghtk thu tròn 110 00 đ,NEGATIVE,2
không giống hình cho lắm nhưng chất lượng người ổn mua mà mỗi sản phẩm này là được,NEUTRAL,3
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn sácg hay,POSITIVE,5
đóng gói sản phẩm chắc chắn giao hàng rất nhanh,POSITIVE,5
chất lượng sản phẩm kém không giống như mô tả,NEGATIVE,2
đáng tiền,POSITIVE,5
váy mặc siêu xinh,POSITIVE,5
thời gian giao hàng rất nhanh hàng hình,POSITIVE,4
vải thì rất đẹp,POSITIVE,5
tiền nào anh náy,NEUTRAL,3
goodd,POSITIVE,5
áo rộng hơn hình nhiều,NEGATIVE,2
kem bên trong là màu trắng khác với kem ngày là màu vàng nhẹ thời gian giao hàng chậm,NEUTRAL,3
áo from rộng như ảnh,POSITIVE,5
chất liệu vải ổn nhưng hơi rộng,NEUTRAL,3
giao hàng không đúng màu,NEGATIVE,1
vãi dày nóng,NEGATIVE,2
cửa hàng phục vụ rất tốt chất lượng sản phẩm ổn,POSITIVE,5
ngon đấy nhưng đang ăn thì ăn phải cọng thun,NEGATIVE,2
khá ổn sẽ ủng hộ cửa hàng tiếp,POSITIVE,4
đẹp lắm nhé,POSITIVE,5
áo vừa quá,POSITIVE,5
áo đẹp lắm ơi,POSITIVE,5
màu thì không thực sự giống trong hình,NEGATIVE,1
chất lượng vải kém không như hình,NEGATIVE,2
đã quay video và chụp ảnh nhưng cửa hàng không phản hồi,NEGATIVE,2
quần thoải mái vừa vặn đẹp cửa hàng phục vụ rất tốt,POSITIVE,5
vận chuyển hàg không nhắt lót vào cặp nên cắp bị méo mất dág,NEGATIVE,2
giao sản phẩm trat lat het sản phẩm minh la de chiu nhat hi ua hang hoi that vong,NEGATIVE,2
ngày qua flash sale 39k chai hết flash lên 55k xong 50k,NEUTRAL,3
chất được,POSITIVE,5
chất lượng sản phẩm tuyệt vời hợp với giá tiền sờ siêu thích màu random nhưng đẹp lắm ạ,POSITIVE,5
mật ong loãng không đặc sánh lắm,NEGATIVE,2
sẽ tiếp tục ủng hộ cửa hàng dài lâu,POSITIVE,5
dép đi êm và mềm,POSITIVE,4
váy đẹp vải thì mình thấy pha nilon nên hơi nóng,NEUTRAL,3
chất tạm được tương sứng giá tiền,POSITIVE,5
giao hàng và chăm sóc tận tình,POSITIVE,5
giá tốt nhưng giao hàng chậm quá không có số đt liên hệ khi cần gấp,NEUTRAL,3
cửa hàng cho doi tra ổn,NEUTRAL,3
thâ sư mi nh qua ưng cho sản phẩm re ma châ lươ người,POSITIVE,5
lọc ổn nhưng hi vọng cửa hàng đóng hàng không hơn,POSITIVE,4
vải mỏng thô hơn mình tưởng tượng,NEUTRAL,3
thời gian giao hàng nhanh chất lượng sản phẩm tốt đóng gói sản phẩm chắc chắn cửa hàng phục vụ khá tốt,POSITIVE,5
áo màu sắc tươi sáng vải chất ạ,POSITIVE,5
cửa hàng rất thái độ với khách hàng,NEGATIVE,1
bị chật ngắn,NEGATIVE,2
cửa hàng phục vụ rất tốt thời gian giao hàng rất nhanh chất lượng sản phẩm tuyệt vời rất đáng tiền,POSITIVE,5
được tốt,POSITIVE,5
chất lượng sản phẩm quá tệ,NEGATIVE,1
chủ cửa hàng nhiệt tình dễ thương,POSITIVE,5
giao ha người nhanh,POSITIVE,4
đàn nhìn cưng lắm,POSITIVE,4
chất lượng sản phẩm tuyệt vời quần hơi mỏng ạ,POSITIVE,4
chất lượng sản phẩm rất kém cửa hàng phục vụ rất kém rất không đáng tiền cửa hàng phu vu qua kem nhan tin ve so tien se hoan lai thi không thay tra lo gi het,NEGATIVE,1
nhưng khá ổn rồi,POSITIVE,4
hihi ưng lắm ạ giày đẹp lắm nhé đi êm mà dễ phối đồ cực,POSITIVE,5
chả ra gì cả chất lượng kém,NEGATIVE,1
gui sai một sản phẩm còn lại chất lượng tốt,NEUTRAL,3
chất rất ổn,POSITIVE,5
rất ưng mặc thoải mái mà chất vải rất thích,POSITIVE,5
nhưng mà cửa hàng nói có tặng kèm dây đàn mà mình nhận được không có ạ,NEGATIVE,2
cửa hàng phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh rất ưng,POSITIVE,5
rất ưng ý sẽ tiếp tục mua để ủng hộ cửa hàng,POSITIVE,5
chứ nhận hàng hết cả hồn ngâm xà bông chà mãi vẫn không sạch,NEGATIVE,1
ai thích mua cho size lơ hơn 2size ổn hơn,POSITIVE,4
đẹp hút hồn,POSITIVE,5
giao hàng người nhanh,POSITIVE,4
giá còn rẻ,POSITIVE,4
đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tốt đóng gói sản phẩm rất đẹp và chắc chắn,POSITIVE,5
sản phẩm bị ỉu không giòn và người không có thời hạn sử dụng trên bao bì,NEGATIVE,2
không tốt chất liệu sấu,NEGATIVE,2
chất lượng sản phẩm tuyệt vời cửa hàng này uy tín quá,POSITIVE,5
vải kate thun mỏng nhẹ mát,POSITIVE,5
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt,POSITIVE,5
chất vải được,POSITIVE,4
sản phẩm đẹp ổn chắc chắn mà lại rẻ hơn so với mình mua ngoàí cửa hàng đắt mà mặc chưa được hôm đã đứt khuy,POSITIVE,5
áo sơ mi đẹp giống hình,NEUTRAL,3
đóng gói đẹp giao đúng hàng sản phẩm chất lượng giá tốt rất hài lòng cửa hàng ơi sẽ tiếp tục ủng hộ nè,POSITIVE,5
tuy nhiên mình mua cái thì cái size ở tay áo bị viết số màu xanh lên chỗ tay áo mình giặt không ra,NEGATIVE,1
cửa hàng đóng gói cẩn thận có kèm tờ thiệp và tờ rơi giới thiệu nữa,POSITIVE,5
chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vờio,POSITIVE,5
không ưng lam,NEGATIVE,2
shoppe nên coi lại chọn người bán cho c9s kinh nghiệm chút,NEGATIVE,2
giờ chẳng biết làm gì với cái áo đó,NEGATIVE,1
ncl rất ưng,POSITIVE,5
kem thẩm thấu rất nhanh thoa xong sáng dậy có cảm giác căng da và mịn hơn còn việc chống lão hóa thì phải xài hết mới biết kết quả,POSITIVE,4
chất lượng ổn mỗi tội bụng rộng quá lại phải sửa,NEUTRAL,3
chất áo mỏngg,NEUTRAL,3
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn,POSITIVE,5
đóng gói sản phẩm tốt cần thêm hộp đựng sẽ tốt hơn,POSITIVE,4
chất liệu vải thì người tạm được chán cái đường chỉ cái thì bục chỉ ở túi còn cái máy cả vào chun,NEGATIVE,2
đóng gói sản phẩm rất đẹp và chắc chắn đóng gói sản phẩm rất đẹp và chắc chắn áo khá to so với mình nên bạn nào muốn mua size mà tướng người nhỏ bé thì nên chọn soze nhé được tặng móc khóa hình jinmin thích lắmm,POSITIVE,5
hàng chuẩn uy tín,POSITIVE,4
mua chai mà mới xịt được lần thì hư mất cái nắp,NEUTRAL,3
đặt hàng không giao hàng là sao vậy á,NEGATIVE,1
hơi mỏng không như mong đợi,NEGATIVE,2
ủng hộ cửa hàng ngàn sao luôn nè,POSITIVE,5
hic,NEGATIVE,2
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn chủ nhiệt tình vui tính,POSITIVE,4
chất lượng khá tốt,POSITIVE,4
vải dày và co giãn tốt,POSITIVE,4
nhưng nếu màu hồng tươi thì ổn,POSITIVE,4
vải rất đẹp,POSITIVE,5
chất lượng sản phẩm tốt đóng gói sản phẩm chắc chắn cửa hàng phục vụ khá tốt thời gian giao hàng hơi chậm,NEUTRAL,3
áo này dày hơn và chất đẹp hơn cái màu trắng mình mua,POSITIVE,4
mình 50kg bầu tháng mua size 2xl mà mặc vừa zin dáng quần đẹp mấy nữa bụng to tí phải mua size to hơn thôi,NEUTRAL,3
nỉ ấm và dày,POSITIVE,5
có chút trục trặc nhưng sửa lại thì vẫn đẹp,POSITIVE,4
chất áo đẹp lên dáng ổn mỗi tội mặc hơi ngứa tí đóng gói sản phẩm rất đẹp và chắc chắn thời gian giao hàng rất nhanh,POSITIVE,5
giao lâu,NEGATIVE,2
chất dai đanh và lì mặt,NEUTRAL,3
giao hàg thì thôi nhah khỏi nói,POSITIVE,4
đóng gói sản phẩm rất đẹp và chắc chắn thời gian giao hàng rất nhanh vải áo hơi mỏng,POSITIVE,4
muốn làm đại lý sỉ,POSITIVE,5
san pha nay vua shopee qua do mua ve toi không xay được ngay ca khoai tay nau chi ma xay con không nhuyễn nua,NEUTRAL,3
size hơi to nhỉ 45kg 1m50 size rồi mà hơi rộng,POSITIVE,4
chất lượng sản phẩm tạm được trượt cơ học khá dít gây khó khăn cho sử dụng,NEGATIVE,2
nhưng áo khiến mình hơi thất vọng,NEGATIVE,2
mặc khá xinh nhưng chất vải xấu mỏng cứng,NEGATIVE,2
chất lượng sản phẩm phù hợp với giá,POSITIVE,4
mới dùng chất lượng ổn,POSITIVE,5
thời gian giao hàng rất nhanh,POSITIVE,5
mua ba cái thấy ổn,POSITIVE,4
đẹp quá ủng hộ cửa hàng lâu dài,POSITIVE,5
áo mặc ổn lắm mọi người cứ tin tưởng mua hàng nhé,POSITIVE,5
dù sao với 160k thì chất lượng như vậy là quá được,POSITIVE,4
đẹp dã man thế này,POSITIVE,5
áo xinh lắm nhé mấy nàng với giá này thì áo vậy là đẹp rồi,POSITIVE,4
khô gà bị mặn cả nhà mình đều kêu vậy,NEGATIVE,1
áo rất ấm,POSITIVE,5
hơi thất vọng,NEGATIVE,2
chất lượng sản phẩm tuyệt vời,POSITIVE,5
huhuu sr vì bh mới xác nhận đã nhận hàng quên béng đi mất,NEGATIVE,2
